src_geneid,trg_geneid
3181,7307
5688,5716
3172,26354
6144,6169
1660,9343
1938,6142
9933,54552
10912,5914
51094,56655
5802,9869
905,5434
4670,55885
2521,6426
57038,113451
9969,9282
7041,7048
3181,11338
6667,1316
1742,3759
650,90
7428,10489
2130,54475
6135,6137
55139,9212
2197,6192
4686,51639
10952,84100
50628,3956
8900,5000
5441,10421
1203,2055
2091,8602
9045,6139
5230,440275
5433,3178
55285,138046
2983,3320
8204,2099
9150,6917
10691,26205
330,331
5970,2959
5501,5430
6777,26353
4792,7157
10589,54107
2033,8850
5925,896
6253,6642
4089,10457
9128,6637
63943,9094
10728,3303
2547,9232
10461,2621
23621,8570
1270,2668
10946,10285
8850,10524
5432,84246
10519,3674
824,825
2963,2071
367,2099
3178,3192
5970,8841
673,7529
2068,2963
2108,9054
10236,7307
4801,4904
3910,55791
23521,51121
23481,84365
10606,84708
50808,55176
6382,3082
3066,23309
572,637
27430,4144
10301,10980
6612,7329
3172,55017
3716,6774
553115,10016
2322,3562
1653,6124
6206,8666
5438,6428
3175,79611
4706,283828
654817,10657
324,701
55740,7791
6191,6201
5694,2091
5436,9416
6874,2963
5431,6749
5770,1000
3673,1277
6208,8661
2768,2151
627,4916
55568,4583
7046,399
10946,51362
1201,2055
9368,529
1488,8715
5499,8027
440552,28964
7534,15
9810,84767
8908,51185
9883,56159
56001,23636
150,2775
27289,2886
2814,2147
9669,6142
3574,3589
6678,94005
7341,4193
4790,1499
3326,4089
8568,79039
3385,30835
5372,79877
2237,5558
55806,8841
5720,7414
933,3678
728642,57062
5682,51053
509,123263
10949,27316
10291,7307
969,9976
23468,9759
4086,3622
898,6599
902,5434
4323,4060
207,4515
3172,51060
54925,55888
5432,6432
1296,1295
8602,9277
6125,84172
57062,374923
6442,2885
3187,10978
7546,11016
83755,92595
6632,10914
9513,79036
79096,5682
6138,23404
10914,23451
8290,8445
6158,6205
3312,7414
3728,1825
821,2157
7534,4215
2706,2707
6303,7157
9402,6461
213,259
5436,3190
26574,55127
920,3902
1813,2781
22984,79877
6252,115825
657,10131
6164,6229
148811,162417
5373,51520
9616,54205
8502,55914
6633,51692
332,23613
9315,84966
1759,23523
51319,2661
8569,9402
5365,260425
9531,26353
5330,5608
7936,51497
1385,30818
1537,9104
3213,5087
3512,973
51466,1399
54464,51079
6135,6157
3569,6857
10134,64083
1965,6919
989,4735
4860,84060
10907,1477
4691,916
10992,8175
10036,5928
10096,10095
5781,151888
10919,26148
2185,5781
5605,10611
10852,10854
3172,29979
6118,8317
10016,131034
8452,595
5144,10399
54778,4088
7321,10273
3172,8407
23764,4779
3188,6633
6598,86
4008,10611
8460,6404
4064,9450
85403,8178
23595,4998
3075,3078
6175,51121
3172,79696
1159,2052
655,2022
57062,3646
7157,8850
22938,3192
5662,9535
6187,7458
1939,6191
54544,1915
203068,9070
