geneid,ab40
1178,0.511576936
1179,-0.232679862
1180,0.063131953
1181,0.858201923
1182,-2.641652522
1183,2.070231556
1184,-0.408961089
1185,0.367538999
1186,0.620891881
1187,0.139870704
1188,1.424104124
1191,-1.406068511
1192,2.189521681
1193,0.353625622
1195,-0.395635078
1196,-0.091236372
1198,-1.495485322
1200,0.229087808
1201,1.555026307
1203,0.172629266
1207,-0.221724399
1208,0.141258541
1209,-0.483148472
1211,0.88976788
1212,-2.47790419
1213,1.687239052
1215,0.298624709
1230,0.73629113
1231,0.12476803
1232,-0.327805979
1233,-0.682012424
1234,1.572953778
1235,0.237422164
1236,2.058122161
1237,-0.37950872
1238,1.140004904
1240,0.063577486
1241,-0.732044332
1244,0.726789104
1258,-0.297077073
1259,-1.115010858
1261,0.292401573
1263,0.007045384
1265,1.311631554
1266,1.927112868
1267,0.091742142
1268,0.251399847
1269,0.099050001
1270,0.827303992
1272,0.349260386
